,Year,Latitude,Longitude,Magnitude
224,2015,-8.2477,108.9163,5.5
225,2015,-9.2585,112.6695,5.9
226,2015,-18.024,-174.0685,5.8
227,2015,52.376,-169.4458,6.9
228,2015,52.7811,-169.5781,5.9
229,2015,52.208,-169.4223,5.7
230,2015,52.2572,-169.3458,5.9
231,2015,52.3581,-169.0816,5.5
232,2015,52.4977,-169.7473,5.6
233,2015,52.2564,-169.3455,5.7
234,2015,-2.6286,138.5277,7.0
235,2015,8.2309,-77.3152,5.9
236,2015,59.8935,-153.1961,6.3
237,2015,-25.3727,154.2281,5.5
238,2015,-27.0321,-176.0466,5.6
239,2015,-56.9716,-140.9507,5.7
240,2015,-16.4701,-174.3557,5.7
241,2015,16.1408,-93.664,5.7
242,2015,-26.4576,-178.2511,6.0
243,2015,-2.1412,28.8973,5.8
244,2015,-2.0913,28.9515,5.5
245,2015,1.0861,-85.2083,5.6
246,2015,1.0467,-85.2705,5.6
247,2015,-18.0441,-174.141,5.7
248,2015,-27.4539,-176.2457,5.8
249,2015,-9.3438,158.0525,6.6
250,2015,-9.2998,157.9543,5.9
251,2015,-19.6389,-174.8533,5.6
252,2015,36.5326,71.2147,5.9
253,2015,-27.0812,-176.2405,5.5
254,2015,-27.0523,-176.2728,5.7
255,2015,-31.6968,-71.6227,5.5
256,2015,-9.3286,157.8422,5.6
257,2015,-9.3293,157.8772,6.5
258,2015,-37.0152,78.0623,6.0
259,2015,-36.8531,78.3516,5.6
260,2015,-3.9835,152.8909,5.6
261,2015,23.9689,122.4897,5.6
262,2015,-27.315,-176.0525,5.7
263,2015,21.1039,-45.8517,5.5
264,2015,-10.8968,163.8226,6.4
265,2015,51.6744,-175.1577,5.7
266,2015,21.952,146.6278,5.7
267,2015,13.7124,51.7823,5.7
268,2015,0.4854,126.5894,5.8
269,2015,-8.0603,149.553,5.5
270,2015,-29.7191,-71.2958,5.7
271,2015,-30.6502,-178.7298,6.0
272,2015,-57.4999,-25.8754,5.8
273,2015,31.2841,141.7062,5.6
274,2015,31.1806,141.6,6.0
275,2015,4.4132,124.6314,5.7
276,2015,2.0551,126.6816,5.5
277,2015,51.371,-174.3382,5.5
278,2015,49.3613,155.6819,5.8
279,2015,-24.2427,179.1278,6.0
280,2015,-32.8199,-177.8599,6.3
281,2015,-32.8265,-178.198,5.9
282,2015,-33.0304,-178.5336,5.8
283,2015,14.337,-94.137,5.7
284,2015,-33.1147,-178.2046,5.5
285,2015,-49.5321,-116.3317,5.9
286,2015,52.0985,-169.5349,6.0
287,2015,-5.9797,146.6564,5.5
288,2015,-32.6066,-178.0287,5.9
289,2015,-6.1236,147.3658,5.5
290,2015,24.8094,-109.5138,5.6
291,2015,24.913,-109.6226,6.7
292,2015,1.8841,126.4288,6.3
293,2015,-6.0114,151.4768,6.1
294,2015,-31.5729,-71.6744,8.3
295,2015,-31.618,-71.745,6.4
296,2015,-31.7502,-71.7425,6.1
297,2015,-31.1055,-71.405,5.6
298,2015,-31.5743,-71.6717,5.7
299,2015,-31.6,-71.9189,6.1
300,2015,-31.5622,-71.4262,7.0
301,2015,-31.1674,-71.772,5.7
302,2015,-30.7179,-71.8037,5.5
303,2015,-31.7842,-72.0222,5.9
304,2015,-31.7363,-72.0265,5.8
305,2015,-31.1043,-71.6504,6.4
306,2015,-30.9669,-71.5398,5.5
307,2015,-31.4244,-71.6876,6.5
308,2015,-31.2244,-71.926,5.7
309,2015,-31.5173,-71.804,6.7
310,2015,-31.4167,-71.98,5.5
311,2015,-31.8011,-72.1309,5.5
312,2015,53.2985,159.7085,5.5
313,2015,-32.9149,-71.6064,5.9
314,2015,-32.1432,-72.3779,5.9
315,2015,-30.9102,-71.9829,5.7
316,2015,-29.9614,-71.8851,5.5
317,2015,-32.2292,-72.3678,5.6
318,2015,-32.3681,-72.2292,6.2
319,2015,15.2767,-45.9886,6.0
320,2015,-29.6411,-72.077,6.1
321,2015,-31.0999,-71.5902,5.7
322,2015,-32.3335,-72.0629,6.2
323,2015,-30.5256,-72.1984,5.6
324,2015,-31.5757,-71.7431,6.1
325,2015,-31.7275,-71.3792,6.6
326,2015,-31.0458,-71.82,5.5
327,2015,-31.7819,-71.6407,5.6
328,2015,-31.4441,-71.2653,6.0
329,2015,50.7832,-130.2084,5.7
330,2015,-0.6212,131.2622,6.6
331,2015,-10.1917,160.5201,5.8
332,2015,-30.8148,-71.3217,6.3
333,2015,5.2649,123.7966,5.5
334,2015,-6.278,151.6661,5.5
335,2015,-57.0947,-142.4382,5.9
336,2015,-7.1772,129.6047,5.5
337,2015,-23.8028,-66.6126,5.9
338,2015,-56.1948,-27.7153,5.7
339,2015,-37.4557,-73.6761,5.8
340,2015,-30.301,-71.551,5.9
341,2015,-30.3105,-72.1018,5.5
342,2015,-30.3035,-71.5318,5.9
343,2015,51.9487,-179.2558,5.7
344,2015,-31.7323,-71.7325,5.5
345,2015,-60.7167,-20.8492,5.5
346,2015,-54.4856,-135.708,6.1
347,2015,-31.1849,-71.8227,5.6
348,2015,-40.5837,176.2884,5.6
349,2015,48.8595,156.2259,6.0
350,2015,55.5962,159.2114,5.6
351,2015,-25.4674,-64.4839,5.8
352,2015,-42.6607,-82.4526,5.6
353,2015,-16.2018,-173.2608,6.0
354,2015,13.8654,120.6172,5.8
355,2015,27.0743,140.2123,5.7
356,2015,-57.4332,-65.8872,5.6
357,2015,-14.8595,167.3028,7.1
