,YEAR,TSUNAMI,FOCAL DEPTH OF EARTHQUAKE,EQ_PRIMARY,INTENSITY,COUNTRY,TOTAL DEATHS OF EARTHQUAKE,TOTAL MISSING OF EARTHQUAKE,TOTAL INJURIES OF EARTHQUAKE,TOTAL HOUSES DESTROYED OF EARTHQUAKE,TOTAL HOUSES DAMAGED OF EARTHQUAKE,TOTAL DAMAGES(MILLION $) OF EARTHQUAKE
377,2016,Yes,30.0,7.6,7.0,CHILE,,,,,,
378,2017,No,32.0,5.7,,INDIA,3.0,,,,,
379,2017,Yes,12.0,6.9,6.0,FIJI,,,,,,
380,2017,No,10.0,5.0,,IRAN,4.0,,4.0,,,
381,2017,No,7.0,5.5,,MADAGASCAR,2.0,,,,,
382,2017,No,9.0,5.7,,ITALY,34.0,,11.0,,,18.0
383,2017,Yes,135.0,7.9,9.0,PAPUA NEW GUINEA,3.0,,,,,
384,2017,No,10.0,5.3,,TURKEY,,,5.0,,90.0,
385,2017,No,38.0,5.5,,COLOMBIA,,,,,378.0,
386,2017,No,29.0,6.3,,PAKISTAN,,,,20.0,,
387,2017,No,15.0,6.5,8.0,PHILIPPINES,8.0,,202.0,215.0,3042.0,40.0
388,2017,No,30.0,5.9,,ZAMBIA,,,5.0,,,
389,2017,No,11.0,5.7,,PHILIPPINES,1.0,,45.0,13.0,,
390,2017,No,10.0,5.1,,MYANMAR (BURMA),2.0,,36.0,,,
391,2017,No,112.0,5.6,,INDONESIA,,,4.0,,,
392,2017,No,28.0,5.0,2.0,CHINA,,,1.0,,,31.0
393,2017,No,13.0,6.1,,IRAN,2.0,,11.0,,,
394,2017,No,14.0,5.9,,PHILIPPINES,,,6.0,506.0,2108.0,
395,2017,No,10.0,4.8,,EL SALVADOR,1.0,,3.0,,,
396,2017,Yes,28.0,6.9,9.0,CHILE,,,,,,
397,2017,Yes,26.0,6.9,9.0,PHILIPPINES,,,7.0,1.0,,
398,2017,Yes,1.0,6.2,,CANADA,,,,,,
399,2017,No,11.0,6.0,,TAJIKISTAN,,,,537.0,,
400,2017,No,8.0,5.4,,CHINA,8.0,,23.0,3015.0,,123.0
401,2017,No,63.0,5.1,,AZERBAIJAN,,,20.0,,85.0,
402,2017,No,8.0,5.6,,IRAN,3.0,,400.0,,,
403,2017,No,10.0,4.4,,TANZANIA,1.0,,18.0,,,
404,2017,No,3.0,4.9,,TURKEY,,,,,35.0,
405,2017,No,12.0,6.6,7.0,INDONESIA,,,25.0,5.0,348.0,
406,2017,Yes,12.0,6.3,,GREECE,1.0,,15.0,10.0,250.0,
407,2017,No,93.0,6.9,8.0,GUATEMALA,5.0,,30.0,,,
408,2017,No,,3.2,,NEPAL,1.0,,1.0,,,
409,2017,No,38.0,6.8,6.0,GUATEMALA,,,4.0,,53.0,
410,2017,No,27.0,5.6,,MOZAMBIQUE,,,4.0,2.0,2.0,
411,2017,No,11.0,6.5,9.0,PHILIPPINES,4.0,,448.0,735.0,1029.0,5.0
412,2017,Yes,10.0,7.7,8.0,RUSSIA,,,,,,
413,2017,No,44.0,6.4,,PERU,1.0,,1.0,,,
414,2017,Yes,7.0,6.6,7.0,TURKEY,2.0,,500.0,,,
415,2017,No,99.0,5.4,,CHILE,1.0,,,,,
416,2017,No,9.0,6.5,5.0,CHINA,25.0,,525.0,100.0,72500.0,500.0
417,2017,No,20.0,6.3,,CHINA,,,32.0,142.0,1060.0,
418,2017,No,41.0,5.6,,PERU,1.0,,,,,
419,2017,No,32.0,5.8,,PERU,1.0,,2.0,,,
420,2017,No,3.0,4.2,,ITALY,2.0,,42.0,,,
421,2017,No,17.0,5.0,,PHILIPPINES,2.0,,,,56.0,
422,2017,Yes,46.0,8.2,9.0,MEXICO,98.0,,251.0,47468.0,94027.0,4000.0
423,2017,No,39.0,7.1,9.0,MEXICO,369.0,,6000.0,226.0,184000.0,8000.0
424,2017,No,10.0,6.1,,MEXICO,5.0,,7.0,11.0,,
425,2017,No,8.0,5.7,,PHILIPPINES,,,11.0,55.0,1659.0,
426,2017,Yes,24.0,6.7,3.0,NEW CALEDONIA,,,,,,
427,2017,No,6.0,6.1,5.0,INDONESIA,1.0,,,,14.0,
428,2017,Yes,22.0,6.6,3.0,NEW CALEDONIA,,,,,,
429,2017,No,19.0,7.3,8.0,IRAN,630.0,,12900.0,15500.0,14500.0,750.0
430,2017,No,19.0,6.5,8.0,COSTA RICA,2.0,,,,,
431,2017,No,10.0,5.5,8.0,SOUTH KOREA,,,90.0,,2000.0,52.0
432,2017,No,8.0,6.4,9.0,CHINA,,,2.0,,3000.0,
433,2017,No,8.0,5.8,,INDONESIA,1.0,,,,294.0,
434,2017,Yes,14.0,6.3,5.0,NEW CALEDONIA,,,,,,
435,2017,Yes,13.0,6.6,4.0,NEW CALEDONIA,,,,,,
436,2017,Yes,10.0,7.0,4.0,NEW CALEDONIA,,,,,,
437,2017,No,10.0,5.1,4.0,CHINA,,,8.0,1.0,30.0,1.5
438,2017,No,10.0,6.0,,IRAN,,,51.0,,,
439,2017,No,92.0,6.5,,INDONESIA,4.0,,36.0,,4825.0,
440,2017,No,10.0,4.9,,IRAN,2.0,,115.0,,,
441,2017,No,10.0,4.0,,IRAN,1.0,,57.0,,,
442,2018,No,10.0,4.9,,MONTENEGRO,,,,,,
443,2018,No,10.0,5.0,,IRAN,,,51.0,,,
444,2018,No,,3.4,,NETHERLANDS,,,,,,
445,2018,Yes,10.0,7.5,,HONDURAS,,,,,7.0,
446,2018,No,10.0,5.5,,IRAN,,,13.0,,,
447,2018,No,36.0,7.1,6.0,PERU,2.0,,139.0,259.0,1577.0,
448,2018,No,44.0,6.0,,INDONESIA,1.0,,11.0,,2760.0,
449,2018,Yes,25.0,7.9,,USA,,,,,,
450,2018,No,191.0,6.1,,AFGHANISTAN,2.0,,15.0,,,
451,2018,No,19.0,5.2,,ECUADOR,1.0,,,,,
452,2018,No,11.0,6.4,,TAIWAN,17.0,,291.0,4.0,,
453,2018,No,25.0,7.2,,MEXICO,13.0,,,,1000.0,
454,2018,No,23.0,7.5,8.0,PAPUA NEW GUINEA,145.0,,300.0,,,290.0
455,2018,No,16.0,6.1,,PAPUA NEW GUINEA,1.0,,,,,
456,2018,No,10.0,6.0,,PAPUA NEW GUINEA,11.0,,,,,
457,2018,No,10.0,6.7,,PAPUA NEW GUINEA,25.0,,,1.0,,
458,2018,No,10.0,5.3,,IRAN,,,54.0,,,
459,2018,No,10.0,4.9,,VENEZUELA,,,,,28.0,
460,2018,No,10.0,6.3,,PAPUA NEW GUINEA,4.0,,,,,
461,2018,No,8.0,5.6,,JAPAN,,,8.0,,429.0,
462,2018,No,5.0,4.7,,ITALY,,,,,,
463,2018,No,4.0,4.4,2.0,INDONESIA,3.0,,21.0,,316.0,
464,2018,No,10.0,5.2,,TURKEY,,,39.0,,,
465,2018,No,10.0,5.3,,IRAN,,,133.0,,,
466,2018,No,,2.1,,SOUTH AFRICA,7.0,,6.0,,,
467,2018,Yes,5.0,6.9,,USA,,,1.0,716.0,,370.0
468,2018,No,10.0,4.1,,POLAND,5.0,,2.0,,,
469,2018,No,10.0,5.6,,EL SALVADOR,,,1.0,11.0,298.0,
470,2018,No,112.0,6.2,,AFGHANISTAN,,,13.0,,45.0,
471,2018,No,17.0,5.8,,COMOROS,,,3.0,,,
472,2018,No,10.0,5.1,,CHINA,,,,,10000.0,
473,2018,No,24.0,5.3,,AZERBAIJAN,1.0,,31.0,,,
474,2018,No,10.0,4.9,,COLOMBIA,2.0,,,1.0,,
475,2018,No,11.0,5.5,,JAPAN,5.0,,380.0,,470.0,7000.0
476,2018,No,10.0,5.2,,INDONESIA,1.0,,2.0,2.0,10.0,
477,2018,No,6.0,5.9,,IRAN,,,287.0,,951.0,
478,2018,No,6.0,6.4,,INDONESIA,17.0,,355.0,5448.0,,
479,2018,Yes,31.0,6.9,,INDONESIA,560.0,,7733.0,,83392.0,509.0
480,2018,No,10.0,5.9,,INDONESIA,2.0,,24.0,,,
481,2018,No,10.0,5.0,,CHINA,,,24.0,,6000.0,
482,2018,Yes,563.0,8.2,,FIJI,,,,,,
483,2018,No,8.0,6.3,,INDONESIA,2.0,,1.0,,1705.0,
484,2018,No,26.0,6.9,,INDONESIA,10.0,,24.0,,151.0,
485,2018,Yes,154.0,7.3,,VENEZUELA,5.0,,,,,
486,2018,No,10.0,6.0,,IRAN,2.0,,267.0,,2600.0,
487,2018,Yes,28.0,7.1,,NEW CALEDONIA,,,,,,
488,2018,No,33.0,6.6,,JAPAN,44.0,,660.0,,,2000.0
489,2018,No,609.0,7.8,,FIJI,,,,,,
490,2018,No,10.0,5.5,,IRAN,1.0,,2.0,,,
491,2018,No,10.0,5.6,,CHINA,,,28.0,,29000.0,
492,2018,No,10.0,5.3,,INDIA,1.0,,,,,
493,2018,Yes,10.0,7.5,8.0,INDONESIA,4340.0,667.0,10679.0,5864.0,69483.0,1500.0
494,2018,No,12.0,5.9,,HAITI,18.0,,580.0,,11497.0,
495,2018,No,9.0,6.0,5.0,INDONESIA,4.0,,36.0,,433.0,
496,2018,Yes,17.0,6.5,,NEW CALEDONIA,,,,,,
497,2018,Yes,14.0,6.8,,GREECE,,,3.0,,,
498,2018,No,9.0,5.6,,INDONESIA,7.0,,,,,
499,2018,No,10.0,6.3,,IRAN,1.0,,759.0,,,
500,2018,No,22.0,4.9,,AFGHANISTAN,,,9.0,,60.0,
501,2018,No,41.0,7.0,,USA,,,117.0,2.0,1650.0,150.0
502,2018,Yes,10.0,7.5,,NEW CALEDONIA,,,,,,
503,2018,No,35.0,5.6,,VANUATU,,,,,,
504,2018,No,27.0,5.4,,CHINA,,,17.0,15.0,6145.0,7.255
505,2018,No,8.0,5.5,,MOZAMBIQUE,,,10.0,600.0,,
506,2018,No,10.0,5.1,,ITALY,,,28.0,15.0,,115.0
